,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
187,Derrick Jones Jr.,PF,25,CHI,64,893,13.8,0.597,0.348,0.365,7.7,11.6,9.7,5.1,1.6,4.0,8.6,14.5,1.2,1.2,2.4,0.131,-1.2,0.8,-0.4,0.3
188,Herbert Jones,PF,24,NOP,66,1951,12.1,0.567,0.333,0.321,5.6,10.0,7.8,11.1,2.6,2.1,13.3,14.5,1.5,2.7,4.2,0.104,-1.9,1.7,-0.3,0.8
189,Kai Jones,C,22,CHO,46,550,10.8,0.597,0.158,0.217,7.0,17.0,11.9,3.7,1.5,4.7,19.1,12.4,0.0,0.7,0.7,0.062,-4.8,0.8,-4.0,-0.3
190,Tre Jones,PG,23,SAS,68,1984,16.0,0.534,0.213,0.231,3.0,10.8,6.7,31.5,2.1,0.4,11.8,19.3,2.6,0.8,3.4,0.082,-0.2,-0.8,-1.0,0.5
191,Tyus Jones,PG,26,MEM,80,1940,16.0,0.546,0.459,0.141,1.5,9.4,5.5,28.8,2.0,0.3,8.9,17.7,3.4,2.3,5.7,0.141,1.2,0.3,1.6,1.7
192,DeAndre Jordan,C,34,DEN,39,586,14.7,0.731,0.009,0.417,10.5,28.6,19.8,7.7,1.0,3.5,26.1,13.7,0.5,0.9,1.4,0.112,-2.4,0.7,-1.8,0.0
193,Cory Joseph,PG,31,DET,62,1227,12.1,0.558,0.513,0.205,1.8,7.9,4.8,25.4,1.3,0.6,12.8,15.2,1.5,0.3,1.8,0.07,-0.7,-0.8,-1.5,0.2
194,Luke Kennard,SG,26,TOT,59,1315,13.0,0.684,0.704,0.102,1.2,11.8,6.6,9.4,1.2,0.3,10.3,14.5,2.2,1.2,3.4,0.124,0.6,-0.1,0.5,0.8
195,Walker Kessler,C,21,UTA,74,1703,21.5,0.702,0.007,0.384,14.9,24.4,19.7,5.7,0.7,8.6,10.7,13.3,4.6,2.5,7.1,0.2,1.4,1.5,2.9,2.1
196,Corey Kispert,SF,23,WAS,74,2093,11.5,0.657,0.656,0.15,1.8,8.9,5.5,5.7,0.7,0.4,8.1,14.1,2.9,0.9,3.8,0.088,-0.1,-1.4,-1.5,0.2
197,Maxi Kleber,PF,31,DAL,37,930,8.7,0.592,0.663,0.225,3.7,13.3,8.4,7.5,0.6,2.9,12.7,10.3,0.7,0.6,1.3,0.067,-2.2,0.0,-2.2,0.0
198,Kevin Knox,SF-PF,23,TOT,63,952,11.1,0.579,0.56,0.181,3.9,17.3,10.5,5.2,1.2,1.1,12.2,18.4,0.2,0.5,0.7,0.034,-2.1,-1.4,-3.5,-0.4
199,Christian Koloko,C,22,TOR,58,802,11.4,0.517,0.08,0.393,11.1,13.3,12.1,5.0,1.3,6.9,10.2,10.4,0.7,1.0,1.7,0.104,-4.3,0.8,-3.5,-0.3
200,John Konchar,SF,26,MEM,72,1494,10.8,0.542,0.553,0.113,4.5,17.4,11.0,8.2,2.4,1.5,9.9,10.4,1.0,2.5,3.5,0.111,-1.9,2.4,0.5,0.9
